0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/images2/23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/images2/24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/images2/22.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/images2/35.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/images2/39.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/images2/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:34 +0530] "GET /ShoppingCartProject/Resource/images2/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/26.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/25.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/27.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/29.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2017:22:19:35 +0530] "GET /ShoppingCartProject/Resource/images2/30.jpg HTTP/1.1" 304 -
